log_date,game_date,pitcher_name,team,opp_team,home_team,away_team,pred_k,has_line,book_line,book_side,best_book,best_odds,book_implied,model_prob_book_line,edge_book,pp_line,pp_side,model_prob_pp_line,edge_pp,game_pk,pitcher,actual_k,hit_book_side
2026-06-16,2026-06-15,Nick Martinez,TB,LAD,LAD,TB,4.206589577746089,1,3.5,over,novig,121.0,0.4524886877828054,0.5404411231413666,0.088,,,,,823938,607259,6,1
2026-06-16,2026-06-15,J.T. Ginn,ATH,PIT,ATH,PIT,5.642768201896056,1,4.5,over,betrivers,-118.0,0.5412844036697247,0.6088983867737349,0.0676,4.5,over,0.6088983867737349,0.0655,824993,669372,3,0
2026-06-16,2026-06-15,Troy Melton,DET,HOU,HOU,DET,4.627571302449806,1,4.5,over,novig,156.0,0.390625,0.4561420102109986,0.0655,4.0,over,0.4561420102109986,-0.0872,824181,675512,-1,-2
2026-06-16,2026-06-15,Dustin May,STL,SD,STL,SD,6.1545734892184125,1,4.5,over,fanduel,-164.0,0.6212121212121212,0.6749359156807752,0.0537,5.0,over,0.5269522716598103,-0.0164,823046,669160,9,1
2026-06-16,2026-06-15,Shota Imanaga,CHC,COL,CHC,COL,5.46368357184827,1,6.5,under,fanduel,-142.0,0.5867768595041323,0.6343535989185844,0.0476,6.0,under,0.6343535989185844,0.091,824666,684007,3,1
2026-06-16,2026-06-15,Jared Jones,PIT,ATH,ATH,PIT,5.363629931814903,1,4.5,over,novig,-125.0,0.5555555555555556,0.5820315548100674,0.0265,5.0,under,0.5753691036038339,0.032,824993,683003,4,0
2026-06-16,2026-06-15,Michael Lorenzen,COL,CHC,CHC,COL,4.5812760287641945,1,3.5,over,betmgm,-155.0,0.6078431372549019,0.6320805369842595,0.0242,4.0,over,0.4601013940868865,-0.0833,824666,547179,5,1
2026-06-16,2026-06-15,Andrew Alvarez,WSH,KC,WSH,KC,3.969932544699706,1,4.5,under,fanduel,-132.0,0.5689655172413793,0.5910780350366218,0.0221,4.0,under,0.5910780350366218,0.0477,822724,674841,5,0
2026-06-16,2026-06-15,MacKenzie Gore,TEX,MIN,TEX,MIN,5.678201971767698,1,5.5,under,novig,115.0,0.4651162790697674,0.4831537349464281,0.018,6.0,under,0.6271295468062474,0.0838,822887,669022,10,0
2026-06-16,2026-06-15,Ryne Nelson,AZ,LAA,AZ,LAA,5.381524462860598,1,4.5,over,novig,-134.0,0.5726495726495726,0.5904245331094633,0.0178,5.0,under,0.5666209839991212,0.0232,825071,669194,5,1
2026-06-16,2026-06-15,Mitch Spence,KC,WSH,WSH,KC,3.226903726639,1,3.5,under,novig,-126.0,0.5575221238938053,0.5743402272824732,0.0168,,,,,822724,687765,1,1
2026-06-16,2026-06-15,Chase Burns,CIN,NYM,CIN,NYM,7.04179450346814,1,7.5,under,novig,-133.0,0.5708154506437768,0.5731209326024025,0.0023,7.0,under,0.5731209326024025,0.0297,824505,695505,7,1
2026-06-16,2026-06-15,Zack Wheeler,PHI,MIA,PHI,MIA,6.190440083180434,1,6.5,under,betrivers,-129.0,0.5633187772925764,0.5588959084061043,-0.0044,6.0,under,0.5588959084061043,0.0155,823452,554430,9,0
2026-06-16,2026-06-15,Kai-Wei Teng,HOU,DET,HOU,DET,5.287109624332247,1,5.5,under,betrivers,-152.0,0.6031746031746031,0.5736136275996659,-0.0296,5.0,under,0.5736136275996659,0.0302,824181,678906,9,0
