game_date,game_pk,game_time,venue,away_team,home_team,pitcher,pitcher_name,team,opp_team,is_home,day_night,pred_k,adj_k,p_over_4.5,p_over_5.5,p_over_6.5,p_over_7.5,p_over_8.5,has_line,book_line,book_side,best_book,best_odds,book_implied,model_prob_book_line,edge_book,pp_line,pp_side,model_prob_pp_line,edge_pp,is_frozen,rest_days,prev_pitches,n_prior_starts,opp_k_pct_15,opp_ops_15,opp_chase_pct_15,n_prior_team_games,park_k_factor,temp_f,wind_speed,wind_favor,is_dome,p_k_per9_10,p_bb_per9_10,p_hr_per9_10,p_whip_10,p_fip_10,p_k_pct_10,p_swstr_pct_10,p_called_strike_pct_10,p_chase_pct_10,p_fp_strike_pct_10,p_fastball_velo_10,p_fastball_pct_10,p_slider_pct_10,p_curveball_pct_10,p_changeup_pct_10,p_other_pct_10,p_avg_pitches_10,p_avg_ip_10
2026-06-22,824344,2026-06-23T00:40:00Z,Coors Field,BOS,COL,663372,Ryan Feltner,COL,BOS,1,night,4.296401408174241,4.0371089136585505,0.4359796292664297,0.2864655498850577,0.1794034663523907,0.1136917968592736,0.0784013331913102,1,3.5,over,betrivers,-113.0,0.5305164319248826,0.5663713064081304,0.0359,,,,,0,6,104,9.0,0.2236598890942698,0.6957025161433978,0.3367729831144465,978.0,89.0,92.0,9.0,-4.901751315135244,0.0,6.440366972477063,3.220183486238532,1.4862385321100915,1.2110091743119265,4.971559633027523,0.1733333333333333,0.210727969348659,0.1302752293577981,0.2250922509225092,0.543046357615894,94.67276995305164,0.3908256880733945,0.3743119266055046,0.0788990825688073,0.1559633027522936,0.0,68.125,4.541666666666667
2026-06-22,823613,2026-06-22T23:10:00Z,Citi Field,CHC,NYM,673540,Kodai Senga,NYM,CHC,1,night,5.176686521421739,4.940106710712636,0.5809490338660059,0.4235093510436412,0.2876733703763996,0.1872190431986549,0.1222164730087148,1,4.5,over,betrivers,-108.0,0.5192307692307693,0.544041699414692,0.0248,,,,,0,6,82,6.0,0.2067226890756302,0.8132837750484809,0.2705882352941176,971.0,103.3,77.2,15.3,10.628273068022658,0.0,10.35,5.85,2.25,1.95,6.15,0.2371134020618556,0.2603550295857988,0.1358695652173913,0.2626262626262626,0.5257731958762887,95.27402597402596,0.4184782608695652,0.1168478260869565,0.0027173913043478,0.233695652173913,0.2255434782608695,73.4,4.0
2026-06-22,824585,2026-06-22T23:40:00Z,Rate Field,CLE,CWS,641743,Anthony Kay,CWS,CLE,1,night,4.791258262604957,4.779608312861052,0.5199339576692539,0.3627196220896934,0.2371772080321076,0.1512477610805672,0.099783989492112,1,4.5,over,caesars,101.0,0.4975124378109453,0.5180207912410137,0.0205,,,,,0,5,86,13.0,0.2545126353790614,0.645615511249314,0.3078924544666088,986.0,99.3,65.2,20.4,-19.609738597141703,0.0,7.530612244897959,3.306122448979592,1.469387755102041,1.469387755102041,5.20204081632653,0.1838565022421524,0.2067307692307692,0.1484375,0.322,0.5758928571428571,95.36702127659576,0.4196428571428571,0.2633928571428571,0.0,0.1395089285714285,0.1774553571428571,89.6,4.9
2026-06-22,824261,2026-06-22T22:10:00Z,Comerica Park,NYY,DET,664285,Framber Valdez,DET,NYY,1,night,5.433883502797324,5.253208337418322,0.6188786347029285,0.4637445386462541,0.3232477710989646,0.2141844757601692,0.1401048205973952,1,4.5,over,caesars,-140.0,0.5833333333333334,0.592483129514192,0.0091,,,,,0,6,92,15.0,0.2157894736842105,0.7921575968081308,0.3014517506404782,997.0,98.9,72.1,9.7,-6.363772581207919,0.0,8.04968944099379,3.68944099378882,1.5093167701863357,1.360248447204969,5.112422360248448,0.2033898305084746,0.2142857142857142,0.1855555555555555,0.3221052631578947,0.6016949152542372,93.94845605700712,0.4677777777777778,0.0644444444444444,0.2666666666666666,0.2,0.0,89.9,5.366666666666666
2026-06-22,823288,2026-06-23T02:10:00Z,Petco Park,ATL,SD,650633,Michael King,SD,ATL,1,night,5.243899700043833,5.062642373657693,0.5910910697583213,0.4340777696182209,0.2968507700336271,0.1940501097536887,0.1266655658029039,1,4.5,over,betrivers,-127.0,0.5594713656387665,0.5633858365732938,0.0039,,,,,0,6,93,15.0,0.2267657992565055,0.6491071734585461,0.3307223672758921,987.0,102.0,75.4,8.8,-7.696653422826683,0.0,8.068965517241379,3.413793103448276,1.396551724137931,1.1551724137931034,4.56551724137931,0.223175965665236,0.2365339578454332,0.1735449735449735,0.268595041322314,0.5829787234042553,93.3552752293578,0.4613756613756614,0.2698412698412698,0.0,0.2687830687830688,0.0,94.5,5.8
2026-06-22,823851,2026-06-22T22:40:00Z,loanDepot park,TEX,MIA,663969,Tyler Phillips,MIA,TEX,1,night,3.9971436277496255,4.15805632981664,0.3835445221952829,0.2429810062156842,0.1493389125170283,0.0958673556432118,0.0691506690402083,1,4.5,under,betrivers,-141.0,0.5850622406639004,0.5881905198103086,0.0031,,,,,0,6,79,4.0,0.2144112478031634,0.729979327852184,0.2966507177033493,978.0,100.3,90.3,0.0,0.0,1.0,7.2439024390243905,3.292682926829269,0.0,1.0975609756097562,2.587804878048781,0.2,0.2560975609756097,0.1940298507462686,0.2307692307692307,0.5636363636363636,96.00506329113924,0.3930348258706467,0.208955223880597,0.1641791044776119,0.2338308457711442,0.0,67.0,4.555555555555555
2026-06-22,822800,2026-06-22T23:07:00Z,Rogers Centre,HOU,TOR,686613,Hunter Brown,HOU,TOR,0,night,5.375319843683136,5.500423070513991,0.6104545786804806,0.4546389303325304,0.3150457725790155,0.2078517910197498,0.1358265489948841,1,5.5,under,betrivers,-114.0,0.5327102803738317,0.5259615560106552,-0.0067,,,,,0,6,92,3.0,0.2122302158273381,0.7551381491939808,0.3434977578475336,981.0,96.9,,,,,14.343749999999998,5.062499999999999,0.0,1.0312499999999998,1.6000000000000003,0.3953488372093023,0.2602739726027397,0.2055555555555555,0.2298850574712643,0.5581395348837209,96.04695652173916,0.6388888888888888,0.0722222222222222,0.2222222222222222,0.0666666666666666,0.0,90.0,5.333333333333334
2026-06-22,824344,2026-06-23T00:40:00Z,Coors Field,BOS,COL,687562,Jake Bennett,BOS,COL,0,night,3.621029679744353,3.554325428614649,0.3178287548577563,0.1929097610926214,0.1175205304280625,0.078522438746711,0.0608707828177653,1,3.5,over,betrivers,106.0,0.4854368932038835,0.47753888566362196,-0.0079,,,,,0,5,79,4.0,0.2027729636048527,0.8419519276099129,0.3064798598949212,967.0,89.0,92.0,9.0,-4.901751315135244,0.0,4.695652173913044,2.9347826086956523,0.5869565217391305,1.5000000000000002,3.882608695652174,0.123076923076923,0.1742424242424242,0.1209677419354838,0.3333333333333333,0.5692307692307692,92.15973154362416,0.6008064516129032,0.0282258064516129,0.0604838709677419,0.2540322580645161,0.0403225806451612,81.33333333333333,5.111111111111111
2026-06-22,823288,2026-06-23T02:10:00Z,Petco Park,ATL,SD,656550,Grant Holmes,ATL,SD,0,night,4.562116912362046,4.504477102393892,0.4816801519723392,0.3269442410919512,0.2092903550957575,0.1326116717945644,0.088884532056311,1,4.5,over,betrivers,107.0,0.4830917874396135,0.4718713998976786,-0.0112,,,,,0,6,55,14.0,0.213903743315508,0.6753868513294007,0.3031111111111111,973.0,102.0,75.4,8.8,-7.696653422826683,0.0,8.26530612244898,3.857142857142857,2.020408163265306,1.4285714285714286,5.589795918367347,0.2083333333333333,0.2644836272040302,0.1401985111662531,0.346067415730337,0.5833333333333334,93.9385756676558,0.4181141439205955,0.3722084367245657,0.0893300248138957,0.0620347394540942,0.0558312655086848,80.4,4.9
2026-06-22,822964,2026-06-22T22:40:00Z,Tropicana Field,KC,TB,608379,Michael Wacha,KC,TB,0,night,3.8370346938269817,3.9734425276453003,0.3554248838340413,0.2209513248268653,0.1349547062747115,0.087815847855223,0.0652066684573511,1,4.5,under,betrivers,-175.0,0.6363636363636364,0.6206227078853943,-0.0157,,,,,0,6,90,15.0,0.1963963963963964,0.6782878865960132,0.2968591691995947,968.0,106.0,,,,,6.786885245901639,2.80327868852459,1.180327868852459,1.3278688524590163,4.329508196721312,0.1782945736434108,0.1768707482993197,0.1549450549450549,0.28,0.6356589147286822,92.87821522309711,0.4186813186813187,0.1098901098901098,0.1065934065934065,0.2219780219780219,0.1406593406593406,90.8,6.1
2026-06-22,824016,2026-06-23T01:38:00Z,Angel Stadium,BAL,LAA,691951,Sam Aldegheri,LAA,BAL,1,night,4.236081147733255,4.23241503985728,0.4254634768934946,0.2774927010083475,0.1730233319845919,0.1098032284650034,0.0763275423803692,1,4.5,over,betrivers,125.0,0.4444444444444444,0.42482310675062007,-0.0196,,,,,0,5,77,3.0,0.2553571428571428,0.7156583322537462,0.2844600526777875,965.0,105.5,78.7,9.3,3.027783836451558,0.0,4.0,5.0,0.0,1.3333333333333333,3.8777777777777778,0.1025641025641025,0.140625,0.1678321678321678,0.28,0.5897435897435898,92.36666666666667,0.4825174825174825,0.0,0.0279720279720279,0.2937062937062937,0.1958041958041958,71.5,4.5
2026-06-22,822720,2026-06-22T22:45:00Z,Nationals Park,PHI,WSH,656492,Foster Griffin,WSH,PHI,1,night,5.113350061488873,5.172992036401305,0.5712490208168723,0.4135281464525761,0.2791144726811175,0.1809281631033696,0.1181705415887768,1,5.5,under,betrivers,-157.0,0.6108949416342413,0.5770723439334742,-0.0338,,,,,0,6,100,15.0,0.2624113475177305,0.7620984564038381,0.3534338358458961,1005.0,89.5,,,,,8.633720930232558,2.197674418604651,1.8837209302325584,1.0290697674418603,4.8965116279069765,0.235042735042735,0.2119815668202765,0.1960996749729144,0.3085339168490153,0.5769230769230769,91.21480144404332,0.3001083423618635,0.1527627302275189,0.0975081256771397,0.1462621885157096,0.3022751895991332,92.2,5.733333333333333
2026-06-22,822964,2026-06-22T22:40:00Z,Tropicana Field,KC,TB,656876,Drew Rasmussen,TB,KC,1,night,5.880521803054426,5.983773633241612,0.6787694304655032,0.5314491909440188,0.3870625441878041,0.2657669978563983,0.1766068597544947,1,5.5,over,betrivers,-162.0,0.6183206106870229,0.5465394654136406,-0.0718,,,,,0,6,102,14.0,0.1757679180887372,0.8121267949773301,0.2924693520140105,968.0,106.0,,,,,9.473684210526317,1.894736842105263,0.9473684210526316,0.9649122807017544,3.1,0.2690582959641255,0.2214611872146118,0.153933865450399,0.3253275109170305,0.6785714285714286,95.7355294117647,0.4846066134549601,0.0273660205245153,0.04903078677309,0.1174458380843785,0.3215507411630559,87.7,5.7
2026-06-22,823851,2026-06-22T22:40:00Z,loanDepot park,TEX,MIA,641302,Tyler Alexander,TEX,MIA,0,night,1.207115042996014,1.207115042996014,0.0571392368952455,0.0513906490572025,0.0502341145813216,0.0500346759865245,0.0500045828205328,0,,,,,,,,,,,,0,34,16,1.0,0.2306338028169014,0.7520679068087412,0.3013333333333333,952.0,100.3,90.3,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,
